"","V1","V2","V3","V4"
"391","0.961413486690386","5","36","1 & 2"
"392","0.962296777558672","6","36","1 & 2"
"393","0.963290237586596","7","36","1 & 2"
"394","0.964344075796825","8","36","1 & 2"
"395","0.965408265016678","9","36","1 & 2"
"396","0.966440107824552","10","36","1 & 2"
"397","-0.851864615562488","0","37","1 & 2"
"398","-0.851850645210921","1","37","1 & 2"
"399","-0.851054968672882","2","37","1 & 2"
"400","-0.84986047209696","3","37","1 & 2"
"401","-0.84849177383233","4","37","1 & 2"
"402","-0.846932176902342","5","37","1 & 2"
"403","-0.845060463130623","6","37","1 & 2"
"404","-0.842875845395909","7","37","1 & 2"
"405","-0.84060611389803","8","37","1 & 2"
"406","-0.838597228426372","9","37","1 & 2"
"407","-0.837082231187778","10","37","1 & 2"
"408","0.998833773549969","0","38","1 & 2"
"409","0.998934099962056","1","38","1 & 2"
"410","0.999027315307176","2","38","1 & 2"
"411","0.99911174845813","3","38","1 & 2"
"412","0.999186265635624","4","38","1 & 2"
"413","0.999250575848545","5","38","1 & 2"
"414","0.999305240452556","6","38","1 & 2"
"415","0.99935130800712","7","38","1 & 2"
"416","0.999389768984031","8","38","1 & 2"
"417","0.999421211265783","9","38","1 & 2"
"418","0.999445898314173","10","38","1 & 2"
"419","-0.99782585222893","0","39","1 & 2"
"420","-0.997996426461016","1","39","1 & 2"
"421","-0.998152252947242","2","39","1 & 2"
"422","-0.998281701525071","3","39","1 & 2"
"423","-0.998377539954161","4","39","1 & 2"
"424","-0.998436490104006","5","39","1 & 2"
"425","-0.998459080077689","6","39","1 & 2"
"426","-0.99844977464042","7","39","1 & 2"
"427","-0.998416724179417","8","39","1 & 2"
"428","-0.998370760893571","9","39","1 & 2"
"429","-0.998323535862794","10","39","1 & 2"
"430","0.995604125741944","0","40","1 & 2"
"431","0.995551767400222","1","40","1 & 2"
"432","0.995526514669125","2","40","1 & 2"
"433","0.995537239330183","3","40","1 & 2"
"434","0.995578538905932","4","40","1 & 2"
"435","0.995635006155477","5","40","1 & 2"
"436","0.995691359419629","6","40","1 & 2"
"437","0.995739653069467","7","40","1 & 2"
"438","0.995778820640817","8","40","1 & 2"
"439","0.995809550216474","9","40","1 & 2"
"440","0.995830828368458","10","40","1 & 2"
"441","0.844155874091141","0","41","1 & 2"
"442","0.846632773948147","1","41","1 & 2"
"443","0.848225049011714","2","41","1 & 2"
"444","0.849076616363848","3","41","1 & 2"
"445","0.849425271388172","4","41","1 & 2"
"446","0.849516215128252","5","41","1 & 2"
"447","0.849576510104333","6","41","1 & 2"
"448","0.849803609625077","7","41","1 & 2"
"449","0.85032328905884","8","41","1 & 2"
"450","0.851137746099795","9","41","1 & 2"
"451","0.852122698284166","10","41","1 & 2"
"452","-0.91250043772079","0","42","1 & 2"
"453","-0.911406329076922","1","42","1 & 2"
"454","-0.910307331683527","2","42","1 & 2"
"455","-0.909292775848315","3","42","1 & 2"
"456","-0.90845166818831","4","42","1 & 2"
"457","-0.90784114853653","5","42","1 & 2"
"458","-0.90745918376463","6","42","1 & 2"
"459","-0.907238353360756","7","42","1 & 2"
"460","-0.907071908584052","8","42","1 & 2"
"461","-0.906857399998237","9","42","1 & 2"
"462","-0.906529491650336","10","42","1 & 2"
"463","0.996026344592369","0","43","1 & 2"
"464","0.995806791731969","1","43","1 & 2"
"465","0.995585631400998","2","43","1 & 2"
"466","0.995370954397908","3","43","1 & 2"
"467","0.995171037780891","4","43","1 & 2"
"468","0.994994717254499","5","43","1 & 2"
"469","0.994850544421079","6","43","1 & 2"
"470","0.994744596664206","7","43","1 & 2"
"471","0.99467814919578","8","43","1 & 2"
"472","0.994647023002164","9","43","1 & 2"
"473","0.994643504682795","10","43","1 & 2"
"474","-0.994099087420264","0","44","1 & 2"
"475","-0.993664065125958","1","44","1 & 2"
"476","-0.993225941830793","2","44","1 & 2"
"477","-0.992801797307838","3","44","1 & 2"
"478","-0.992408127811869","4","44","1 & 2"
"479","-0.992058351967688","5","44","1 & 2"
"480","-0.991760720012743","6","44","1 & 2"
"481","-0.991517164708935","7","44","1 & 2"
"482","-0.99132360684478","8","44","1 & 2"
"483","-0.99117173404673","9","44","1 & 2"
"484","-0.991051694391676","10","44","1 & 2"
"485","-0.999863253723275","0","45","1 & 2"
"486","-0.999846000212163","1","45","1 & 2"
"487","-0.999822880884237","2","45","1 & 2"
"488","-0.999794656193414","3","45","1 & 2"
"489","-0.999762703987921","4","45","1 & 2"
"490","-0.999728825185929","5","45","1 & 2"
"491","-0.999694945097129","6","45","1 & 2"
"492","-0.999662754836728","7","45","1 & 2"
"493","-0.999633419759126","8","45","1 & 2"
"494","-0.999607488856371","9","45","1 & 2"
"495","-0.999585039468461","10","45","1 & 2"
"496","0.95857182033435","0","46","1 & 2"
"497","0.958720073176891","1","46","1 & 2"
"498","0.958737517825393","2","46","1 & 2"
"499","0.9586593563774","3","46","1 & 2"
"500","0.958525522651887","4","46","1 & 2"
"501","0.958371339602841","5","46","1 & 2"
"502","0.958226904640435","6","46","1 & 2"
"503","0.958120833952956","7","46","1 & 2"
"504","0.958081617857721","8","46","1 & 2"
"505","0.958133785889615","9","46","1 & 2"
"506","0.958290917394563","10","46","1 & 2"
"507","-0.997932212245631","0","47","1 & 2"
"508","-0.997874024241473","1","47","1 & 2"
"509","-0.997826223637667","2","47","1 & 2"
"510","-0.997793210122817","3","47","1 & 2"
"511","-0.997776292010706","4","47","1 & 2"
"512","-0.997773459900944","5","47","1 & 2"
"513","-0.997779989061663","6","47","1 & 2"
"514","-0.997789674820309","7","47","1 & 2"
"515","-0.997796180152888","8","47","1 & 2"
"516","-0.99779382516459","9","47","1 & 2"
"517","-0.997777662267351","10","47","1 & 2"
"518","0.996158164207899","0","48","1 & 2"
"519","0.996189629771089","1","48","1 & 2"
"520","0.996219532247767","2","48","1 & 2"
"521","0.996257055288784","3","48","1 & 2"
"522","0.996311283743866","4","48","1 & 2"
"523","0.996387936116906","5","48","1 & 2"
"524","0.99648739683154","6","48","1 & 2"
"525","0.996604779240359","7","48","1 & 2"
"526","0.996731746252052","8","48","1 & 2"
"527","0.996859052816407","9","48","1 & 2"
"528","0.996978656995478","10","48","1 & 2"
"529","0.982702864031232","0","49","1 & 2"
"530","0.983885407244749","1","49","1 & 2"
"531","0.985074171079617","2","49","1 & 2"
"532","0.986225021602205","3","49","1 & 2"
"533","0.987295860444755","4","49","1 & 2"
"534","0.988251403979121","5","49","1 & 2"
"535","0.989066271568891","6","49","1 & 2"
"536","0.989726164178474","7","49","1 & 2"
"537","0.990228045704117","8","49","1 & 2"
"538","0.990580281313598","9","49","1 & 2"
"539","0.990802506942641","10","49","1 & 2"
"540","0.996317616480295","0","50","1 & 2"
"541","0.996427494466771","1","50","1 & 2"
"542","0.996511522423461","2","50","1 & 2"
"543","0.996567753543147","3","50","1 & 2"
"544","0.996597740245659","4","50","1 & 2"
"545","0.996605291054242","5","50","1 & 2"
"546","0.996595414432152","6","50","1 & 2"
"547","0.996573246226178","7","50","1 & 2"
"548","0.996542818770885","8","50","1 & 2"
"549","0.996506171063875","9","50","1 & 2"
"550","0.996463312254791","10","50","1 & 2"
"551","0.996333873004659","0","51","1 & 2"
"552","0.996494224683369","1","51","1 & 2"
"553","0.99652312739125","2","51","1 & 2"
"554","0.99645681670533","3","51","1 & 2"
"555","0.99633695484886","4","51","1 & 2"
"556","0.99619600143702","5","51","1 & 2"
"557","0.996052355920744","6","51","1 & 2"
"558","0.995913568903528","7","51","1 & 2"
"559","0.995783010000349","8","51","1 & 2"
"560","0.995664602276849","9","51","1 & 2"
"561","0.995563949606985","10","51","1 & 2"
"562","0.987018230518833","0","52","1 & 2"
"563","0.9872054393357","1","52","1 & 2"
"564","0.987403610176521","2","52","1 & 2"
"565","0.987619462570121","3","52","1 & 2"
"566","0.9878603171265","4","52","1 & 2"
"567","0.988131811718759","5","52","1 & 2"
"568","0.988435706704108","6","52","1 & 2"
"569","0.988768590060083","7","52","1 & 2"
"570","0.989122039362625","8","52","1 & 2"
"571","0.989484164251756","9","52","1 & 2"
"572","0.989841983086428","10","52","1 & 2"
"573","0.563852090356183","0","53","1 & 2"
"574","0.55499551282076","1","53","1 & 2"
"575","0.548741784479752","2","53","1 & 2"
"576","0.546039451305764","3","53","1 & 2"
"577","0.547100670226623","4","53","1 & 2"
"578","0.551340021849368","5","53","1 & 2"
"579","0.557665726197032","6","53","1 & 2"
"580","0.564916916749943","7","53","1 & 2"
"581","0.572217650319365","8","53","1 & 2"
"582","0.579126943028096","9","53","1 & 2"
"583","0.585606184633373","10","53","1 & 2"
"584","0.99506802127565","0","54","1 & 2"
"585","0.99528112349337","1","54","1 & 2"
"586","0.995506100652264","2","54","1 & 2"
"587","0.995719738685956","3","54","1 & 2"
"588","0.995902304743063","4","54","1 & 2"
"589","0.996042210970433","5","54","1 & 2"
"590","0.996137343481292","6","54","1 & 2"
"591","0.99619318952707","7","54","1 & 2"
"592","0.996219934417098","8","54","1 & 2"
"593","0.996230568887857","9","54","1 & 2"
"594","0.996239843974286","10","54","1 & 2"
"595","0.997208365378483","0","55","1 & 2"
"596","0.997109940822268","1","55","1 & 2"
"597","0.997018125829233","2","55","1 & 2"
"598","0.996933937573424","3","55","1 & 2"
"599","0.996856468383816","4","55","1 & 2"
"600","0.996783525313375","5","55","1 & 2"
"601","0.996712531163525","6","55","1 & 2"
"602","0.996641296002706","7","55","1 & 2"
"603","0.996568458187841","8","55","1 & 2"
"604","0.996493641452427","9","55","1 & 2"
"605","0.996417476911111","10","55","1 & 2"
"606","-0.990441752053981","0","56","1 & 2"
"607","-0.990354058125512","1","56","1 & 2"
"608","-0.990309535567609","2","56","1 & 2"
"609","-0.990309591856661","3","56","1 & 2"
"610","-0.990350166156596","4","56","1 & 2"
"611","-0.990422336347434","5","56","1 & 2"
"612","-0.990514113837165","6","56","1 & 2"
"613","-0.990612937358334","7","56","1 & 2"
"614","-0.990708280544167","8","56","1 & 2"
"615","-0.990793470648318","9","56","1 & 2"
"616","-0.990866292390183","10","56","1 & 2"
"617","0.989754619055439","0","57","1 & 2"
"618","0.989920701690607","1","57","1 & 2"
"619","0.990094523236664","2","57","1 & 2"
