"","V1","V2","V3","V4"
"385","-0.647500538216124","10","35","1 & 2"
"386","-0.733275403121237","0","36","1 & 2"
"387","-0.732011118179247","1","36","1 & 2"
"388","-0.730185489704501","2","36","1 & 2"
"389","-0.727732927153539","3","36","1 & 2"
"390","-0.724640712523967","4","36","1 & 2"
"391","-0.720948808475057","5","36","1 & 2"
"392","-0.716721863725424","6","36","1 & 2"
"393","-0.712017141705497","7","36","1 & 2"
"394","-0.706880043290827","8","36","1 & 2"
"395","-0.70137760833139","9","36","1 & 2"
"396","-0.69564339294192","10","36","1 & 2"
"397","-0.516815065226862","0","37","1 & 2"
"398","-0.511526441499312","1","37","1 & 2"
"399","-0.508540556333781","2","37","1 & 2"
"400","-0.507990344005874","3","37","1 & 2"
"401","-0.50945924622094","4","37","1 & 2"
"402","-0.512120550506859","5","37","1 & 2"
"403","-0.515055837585673","6","37","1 & 2"
"404","-0.517555338400073","7","37","1 & 2"
"405","-0.519254036003383","8","37","1 & 2"
"406","-0.520104707041659","9","37","1 & 2"
"407","-0.520287742076985","10","37","1 & 2"
"408","0.615865486444852","0","38","1 & 2"
"409","0.615603497704732","1","38","1 & 2"
"410","0.618077435468671","2","38","1 & 2"
"411","0.623645961468196","3","38","1 & 2"
"412","0.632305634173129","4","38","1 & 2"
"413","0.643629525450263","5","38","1 & 2"
"414","0.656824898433679","6","38","1 & 2"
"415","0.670892791004886","7","38","1 & 2"
"416","0.684835197944659","8","38","1 & 2"
"417","0.697841166286769","9","38","1 & 2"
"418","0.709397250262146","10","38","1 & 2"
"419","0.496826069279744","0","39","1 & 2"
"420","0.510329307291657","1","39","1 & 2"
"421","0.524332708944187","2","39","1 & 2"
"422","0.538226210563351","3","39","1 & 2"
"423","0.551252446704455","4","39","1 & 2"
"424","0.5627283518083","5","39","1 & 2"
"425","0.572248079761959","6","39","1 & 2"
"426","0.579769386671664","7","39","1 & 2"
"427","0.585573201864259","8","39","1 & 2"
"428","0.590168547357531","9","39","1 & 2"
"429","0.594210487438556","10","39","1 & 2"
"430","0.457079311266437","0","40","1 & 2"
"431","0.460191259495833","1","40","1 & 2"
"432","0.46197603474805","2","40","1 & 2"
"433","0.46274945738057","3","40","1 & 2"
"434","0.4629721730146","4","40","1 & 2"
"435","0.463163688116212","5","40","1 & 2"
"436","0.463821823222705","6","40","1 & 2"
"437","0.465349841183417","7","40","1 & 2"
"438","0.46799843669426","8","40","1 & 2"
"439","0.471840096992963","9","40","1 & 2"
"440","0.476789296788669","10","40","1 & 2"
"441","0.50792360802777","0","41","1 & 2"
"442","0.511152283236895","1","41","1 & 2"
"443","0.514193608497515","2","41","1 & 2"
"444","0.517001135631186","3","41","1 & 2"
"445","0.519551666073982","4","41","1 & 2"
"446","0.521859251209897","5","41","1 & 2"
"447","0.523984028075107","6","41","1 & 2"
"448","0.526034666761715","7","41","1 & 2"
"449","0.528164856057471","8","41","1 & 2"
"450","0.530564021518665","9","41","1 & 2"
"451","0.533441157205051","10","41","1 & 2"
"452","0.191058466592495","0","42","1 & 2"
"453","0.217062007879813","1","42","1 & 2"
"454","0.244485846420185","2","42","1 & 2"
"455","0.272922038454193","3","42","1 & 2"
"456","0.301680507746395","4","42","1 & 2"
"457","0.329920570846514","5","42","1 & 2"
"458","0.356860984958617","6","42","1 & 2"
"459","0.381977116753409","7","42","1 & 2"
"460","0.405094323300545","8","42","1 & 2"
"461","0.426353081471096","9","42","1 & 2"
"462","0.44608970465697","10","42","1 & 2"
"463","0.348687898010054","0","43","1 & 2"
"464","0.348051706793078","1","43","1 & 2"
"465","0.346019558882536","2","43","1 & 2"
"466","0.342729570060745","3","43","1 & 2"
"467","0.338540567760774","4","43","1 & 2"
"468","0.333950495875078","5","43","1 & 2"
"469","0.32949049263073","6","43","1 & 2"
"470","0.325622640596104","7","43","1 & 2"
"471","0.322670813311107","8","43","1 & 2"
"472","0.32080444371114","9","43","1 & 2"
"473","0.320074690777236","10","43","1 & 2"
"474","0.487251680361876","0","44","1 & 2"
